id,result
57927,1
30238,1
97835,1
85873,0
67939,0
83276,0
39385,1
46942,1
65641,1
56037,0
41107,1
40262,1
89688,1
15373,1
78066,1
82393,1
19262,1
82934,1
58885,1
84407,1
47149,1
19208,0
14476,0
62591,1
75584,1
13811,1
38199,1
34590,0
93224,1
6274,1
83948,1
85746,0
53407,0
41385,1
35972,0
64361,1
35969,1
44538,0
31645,0
77817,1
43984,1
22683,0
12605,1
99434,1
55924,1
88344,1
13062,1
95223,0
38129,0
49570,0
28471,1
74356,1
12831,1
49820,1
37125,0
54368,1
89375,1
64451,1
25584,1
6428,0
75940,0
56268,0
10187,0
34179,1
55871,1
32331,1
96669,0
85764,1
74431,1
74767,1
28472,1
85952,0
98452,0
90371,0
89366,1
99129,0
88761,1
86271,0
17992,0
55148,1
46695,1
24000,0
78880,1
78965,1
80785,0
4293,1
34539,1
28447,1
84381,1
8213,0
42340,0
95072,0
76445,0
52776,0
81214,1
198,0
55736,1
65963,1
48291,1
51106,1
81678,1
97932,1
46254,1
28561,1
95126,1
35916,1
93411,1
88379,0
720,0
90445,1
12671,1
40619,0
80732,0
79848,0
10979,0
57553,1
26405,1
17046,0
81461,1
78221,1
46694,1
38958,1
56340,0
59415,0
77981,1
88359,1
6859,0
64506,1
6586,1
24020,0
66678,0
54852,0
78890,1
3429,1
6551,0
89741,0
32981,1
18895,1
57933,1
81955,0
4300,0
59888,0
35286,0
5447,0
19957,1
89708,0
38767,0
31738,1
32037,1
97393,0
81479,0
71630,1
50529,0
57394,1
26285,0
94054,0
15201,1
4144,0
51272,0
52304,0
45553,1
27165,1
42583,0
15853,1
44560,0
31678,0
64626,0
79851,1
5594,0
34287,1
71420,0
47791,0
98450,1
26218,0
47996,0
77913,0
40853,1
15700,1
50282,1
66883,1
50472,0
32938,1
6861,0
69546,0
57045,0
68943,1
22982,1
75335,1
43958,1
47472,1
15415,0
32453,1
46846,1
69542,1
49449,1
98860,1
49712,0
14580,0
88696,1
86796,1
2844,0
478,0
58912,1
54415,1
87762,0
51220,1
1536,1
13654,0
43051,1
54744,0
47850,1
8984,0
90820,1
6353,0
18038,0
81293,0
5505,0
77972,1
35264,0
27132,1
18258,1
41501,1
24275,1
11821,0
32141,1
10598,0
8597,1
99409,1
50738,0
40728,0
21780,1
26791,0
31457,0
72714,0
43599,0
70689,0
6484,1
83530,0
78892,1
28175,1
85547,0
73787,0
61609,0
32893,1
4853,1
90079,0
61506,0
71184,0
42539,0
5729,1
48140,1
10656,1
75644,1
63750,0
91659,1
77494,1
87824,1
25757,0
91613,0
45242,1
62392,1
29566,0
69957,0
95635,0
35341,1
73072,0
61503,1
89903,1
85509,1
45781,0
81125,1
67505,1
94699,1
77367,1
37563,1
50724,0
61175,0
73061,0
34267,0
17093,0
34960,0
4946,0
71043,1
95347,1
80141,1
20338,0
25445,0
59131,1
56516,1
39672,1
44702,0
1871,1
19456,1
2763,1
57532,0
78882,1
76340,1
90004,0
59350,1
25551,1
28402,1
52915,1
89255,1
13956,1
17915,0
52061,0
32727,1
13470,0
39541,1
58198,1
68483,0
93434,1
80127,0
42360,0
33382,0
61891,1
57462,1
40681,0
69976,0
6728,0
29753,0
95417,1
99026,0
88811,1
85338,1
3682,1
36057,1
75869,0
20869,1
79516,0
46701,1
23321,1
82507,1
77926,0
51690,0
97125,1
4901,0
84082,0
90523,1
53497,1
11847,1
12429,0
72172,0
29690,1
45355,1
68872,1
45240,0
1567,1
4101,0
94872,1
9130,0
91764,0
18095,0
4114,0
93243,1
54554,0
9440,0
10862,0
17304,0
56008,1
58846,0
66062,1
73733,0
64484,0
56579,0
41594,1
35209,0
21290,1
40380,0
44196,0
31784,0
17800,0
91965,1
72879,0
28105,1
34987,1
90877,1
83577,0
71404,1
77267,1
55909,0
92875,1
88075,1
86422,1
33557,1
26257,0
17539,0
2906,0
83333,0
90031,1
90440,0
11635,0
7946,1
71183,0
85173,0
238,1
4366,1
84022,0
30685,0
35876,0
99441,1
85396,1
56897,1
15590,1
17945,0
11487,0
1204,0
50805,0
97054,1
90387,1
85375,1
71757,0
1157,1
45860,0
55917,0
92741,1
39048,1
24663,0
86170,0
2364,0
95328,1
9489,0
67730,0
56828,0
82999,0
34908,0
65894,0
3613,1
23574,0
32688,0
80183,1
69966,0
44956,1
98692,0
4087,0
55229,1
42985,1
67184,1
87320,1
65563,1
92640,0
67793,0
16512,1
55254,0
32818,1
9269,1
97129,1
45655,0
46315,0
97008,1
56434,0
26269,0
9436,1
57717,0
37352,1
60261,1
10260,1
11296,0
1792,1
71346,1
45283,1
82512,1
39029,1
20456,1
69025,1
76479,1
12273,1
64158,1
1086,1
79656,0
55483,1
98161,1
76753,0
40488,1
46358,0
79117,1
50062,0
40598,1
39821,0
83116,0
37682,1
61143,0
54803,0
40124,1
49155,0
87045,0
53100,0
45238,1
62515,1
31217,1
31026,1
97845,0
44628,0
83621,0
77638,1
38570,1
47161,0
61809,1
17582,0
89454,1
91932,1
97493,0
46260,0
72065,0
88041,0
5414,0
17843,1
83497,0
40049,1
80244,1
77756,1
40941,0
75251,1
96722,1
77629,0
24245,0
3909,1
58381,1
93593,0
39682,1
74616,1
42545,1
67051,1
56211,0
74980,0
8,1
14314,1
42151,0
76665,0
85505,0
50094,0
29947,1
23012,1
16557,0
18272,0
80206,0
62943,1
91671,1
40565,1
31353,0
84928,1
98492,1
83875,0
74038,1
84363,0
18089,1
14171,1
62502,0
39670,0
51000,0
53262,1
67961,1
1256,1
97646,1
23721,1
95293,1
78579,0
1170,1
9473,1
68533,0
97531,1
22517,1
67537,0
91726,1
66413,1
25232,0
27438,0
54996,1
35785,0
94950,1
48065,1
55942,0
89001,1
15125,0
94032,1
17909,0
56775,0
72572,0
20849,1
26102,1
94046,0
95690,1
27604,0
88121,1
63177,0
18293,0
44876,1
11441,0
75559,1
14373,0
99667,0
69867,0
26395,1
2513,0
64826,1
85166,1
43454,1
55509,0
99425,0
76916,1
43227,1
16098,1
49049,1
22179,1
85599,1
48919,1
54834,1
82785,0
87227,0
64278,1
6794,1
95946,1
62864,0
50491,1
65584,0
67248,0
23008,1
94104,0
73032,1
49544,1
94216,0
27075,0
8151,1
87095,1
14546,1
38224,1
71839,1
95335,1
74868,0
77098,1
27018,0
71615,1
29597,1
77170,0
74721,1
82360,0
35583,0
54880,0
39985,1
50889,1
33608,0
71897,1
31271,0
35941,1
18951,0
30035,0
32763,1
94708,0
48683,0
33061,0
2893,1
18124,1
95669,0
52357,0
3979,1
23299,1
91421,1
29601,1
94352,0
60335,0
61986,0
1609,1
49582,1
61393,1
7074,1
17035,0
22956,0
57480,1
23835,1
74916,0
10719,1
32676,1
75601,0
3085,1
95532,1
89941,1
99393,1
72648,1
13883,1
5550,0
87249,1
30368,1
35403,0
70911,0
65455,0
70134,1
93610,0
94138,0
37680,0
5783,0
18596,1
80733,0
60486,0
74776,0
67107,0
67913,1
18150,1
42397,0
75195,1
14683,1
40706,0
96914,1
16710,1
93984,1
24397,0
4655,1
17117,1
50287,0
95158,0
89914,1
5044,0
22649,0
36411,1
74824,1
27902,1
64029,1
15978,1
62155,1
12296,0
2432,1
40575,0
67268,1
16001,1
91178,0
25783,1
82588,1
74335,1
56064,1
64341,0
8590,1
7965,1
2378,1
15497,0
99970,0
21981,1
56819,1
62333,0
49075,1
81106,0
50260,0
58391,1
7491,0
56455,0
21478,0
63181,0
20154,1
51194,1
75738,1
61345,0
73301,1
72321,0
81805,1
74682,0
31972,0
61865,0
55645,0
66829,1
79172,1
88459,1
5813,0
481,1
44251,1
26589,1
74903,0
93846,1
42786,1
87174,0
50454,1
84213,0
30279,1
96764,0
62688,1
22146,0
48818,1
46900,1
66670,1
21585,0
27755,0
51623,1
51506,0
66490,1
97273,0
3551,0
9361,1
45968,1
84900,1
87172,1
8876,0
42683,0
16806,1
46992,0
63861,0
60438,1
33790,0
9553,1
38437,1
72132,0
96534,0
28720,1
71558,1
76450,0
81172,1
36339,1
68019,1
90813,0
48123,1
41814,0
28323,0
58983,1
36800,1
32078,0
50948,1
94999,0
1837,0
69582,0
12607,1
31310,1
12873,1
50082,1
5126,1
97743,0
27478,1
45266,1
25001,0
45394,0
44433,0
63739,1
47604,0
79783,1
76056,0
68695,0
85775,1
41544,1
4859,1
84464,0
33635,1
8821,1
63165,1
19939,0
65709,0
21678,1
6617,0
28477,1
74161,1
99098,0
92122,0
14804,0
29007,1
11957,0
79131,1
19301,1
71258,1
26297,1
48275,1
84675,1
11448,0
98151,0
10235,0
39518,1
93387,0
58265,1
99836,1
16495,1
78853,1
17509,1
86656,0
3851,0
22430,0
60042,1
62068,0
98335,1
42678,1
79325,1
67651,1
32481,0
64138,1
55636,1
96182,1
93160,1
8932,1
35164,1
1617,0
15018,1
79102,1
97357,1
9173,0
91534,1
85378,0
32514,1
11086,1
4247,1
50943,1
76861,1
98326,0
68341,1
28342,1
98655,1
96901,0
53235,1
22955,0
74486,1
68632,0
42823,1
81387,0
81649,1
95236,0
13403,1
10170,1
12485,0
76705,1
39801,0
61252,0
96554,0
58953,1
9218,1
94427,1
51338,1
85108,0
35326,1
76917,0
52678,0
98999,0
24961,0
9856,1
28792,0
58589,0
67449,0
10160,0
7495,1
54929,1
70552,0
76206,0
51189,1
96919,1
78897,0
45529,1
93114,0
71023,0
28974,1
2586,0
28053,0
58819,0
79111,0
96310,1
71032,1
68660,0
53308,1
82156,1
2064,1
73646,1
97065,0
82618,0
81018,0
13324,1
79737,1
56538,0
21436,0
34416,0
44768,1
82966,0
19866,1
28702,1
36393,0
88780,0
22503,1
57701,1
73680,0
28287,1
68133,1
34991,0
38037,0
18733,1
67991,0
35557,1
85776,1
73560,0
45908,1
66708,1
61925,1
36229,1
4253,1
99111,1
93893,0
66628,1
9236,1
59806,0
3650,1
